id,age,margins,districts_and_neighborhoods,periods,municipality,region_type,big_or_small,underweight,overweight,severe_overweight,smoker,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction
156704,53115,MW00000,BU06130420,2020JJ00,Albrandswaard                           ,Buurt     ,S,2.3,46.8,12.8,12.7,87.0,8.8,6.2,23.7,20.6,19.0,38.8,37.3,5.9,18.4,87.8,61.4,2.9,2.7,23.6,49.5,37.7,1.9,49.5,3.4,1.8
156713,53115,MW00000,BU06130522,2020JJ00,Albrandswaard                           ,Buurt     ,S,2.2,47.8,12.9,13.1,86.6,8.6,6.0,25.3,20.1,18.4,40.1,37.8,6.5,18.6,87.6,57.7,2.9,2.3,24.6,50.5,38.8,1.9,51.0,4.3,1.7
156719,53115,MW00000,BU06130623,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.7,53.9,15.9,16.0,77.4,5.9,3.3,25.0,21.8,19.9,44.5,43.7,10.3,26.2,84.2,56.0,4.0,4.9,28.3,44.9,49.7,3.2,47.1,6.9,2.9
156722,53115,MW00000,BU06130624,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.7,54.3,15.6,14.6,78.3,5.9,3.4,24.4,20.7,18.9,42.8,41.9,8.9,24.1,85.8,57.1,3.6,3.8,27.0,44.7,48.2,2.6,46.9,5.6,2.5
156725,53115,MW00000,BU06130625,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.6,47.1,11.0,10.3,84.9,7.5,5.3,20.7,16.7,15.5,38.8,36.3,6.0,19.3,90.5,64.3,2.5,1.8,22.3,51.5,43.1,1.4,49.2,3.5,1.4
156728,53115,MW00000,BU06130626,2020JJ00,Albrandswaard                           ,Buurt     ,S,2.0,52.0,15.3,14.4,80.4,6.6,3.8,25.6,21.8,20.1,43.8,44.0,9.7,26.3,84.6,56.8,3.9,4.4,28.0,46.0,47.9,2.8,47.6,6.0,2.6
157442,53115,MW00000,BU04840101,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.2,42.7,10.9,16.8,87.7,10.0,7.0,22.9,19.1,17.6,46.0,41.9,8.5,25.2,88.4,56.6,2.7,2.1,26.1,55.5,33.9,2.0,51.2,4.2,2.0
157445,53115,MW00000,BU04840102,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.2,41.3,9.0,10.7,87.6,10.1,8.2,22.6,19.1,17.6,38.6,35.2,5.8,17.5,90.7,64.4,2.8,2.1,21.9,56.6,33.9,1.8,53.3,2.7,1.4
157448,53115,MW00000,BU04840103,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.6,48.8,13.0,13.1,84.8,7.1,5.2,25.2,21.2,19.7,43.0,39.6,7.4,22.8,88.0,58.8,2.7,2.7,23.9,50.3,41.3,2.2,52.3,4.4,1.9
157451,53115,MW00000,BU04840104,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.7,44.1,10.0,11.2,89.9,8.3,6.8,25.2,20.7,19.4,39.1,35.3,5.9,18.8,89.1,66.2,2.6,2.0,21.7,54.5,32.4,1.9,52.7,3.1,1.7
157454,53115,MW00000,BU04840105,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.9,53.6,17.4,20.7,77.4,8.1,5.9,30.3,27.5,25.8,50.8,48.5,12.0,30.4,81.1,49.1,4.6,6.2,30.7,45.2,46.1,4.4,48.9,7.4,3.6
157457,53115,MW00000,BU04840106,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.0,52.5,16.8,20.6,77.4,7.8,5.3,29.8,27.1,25.4,51.7,49.4,13.0,31.9,81.2,49.4,5.1,6.2,30.9,46.9,46.0,4.7,51.3,8.2,3.8
157460,53115,MW00000,BU04840107,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.4,53.2,15.6,18.6,79.7,8.3,7.3,30.3,27.0,25.3,45.2,46.4,10.8,27.2,83.5,46.8,4.8,4.6,31.4,46.3,44.4,3.4,49.9,5.1,3.3
157463,53115,MW00000,BU04840108,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.1,53.0,17.4,21.3,70.5,7.4,5.1,30.0,27.9,26.1,54.4,52.8,14.5,35.3,79.2,47.8,6.5,7.9,34.1,46.2,51.1,5.4,50.3,9.1,4.6
157466,53115,MW00000,BU04840109,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.1,48.2,13.9,14.4,80.9,7.5,5.3,25.5,21.4,20.0,46.4,43.2,9.3,26.7,85.8,58.2,3.7,3.7,25.8,50.7,43.3,2.7,50.9,5.6,2.2
157469,53115,MW00000,BU04840110,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.9,49.3,13.7,16.5,85.6,8.4,6.6,26.5,22.8,21.4,46.2,42.6,8.9,25.3,86.2,58.7,3.6,3.3,26.0,49.7,38.6,2.7,52.8,5.3,2.2
157472,53115,MW00000,BU04840111,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.7,43.8,11.4,14.5,89.0,7.6,5.7,21.4,17.4,16.0,45.2,37.0,6.3,21.6,89.9,61.2,2.3,2.2,20.5,55.0,36.2,1.9,54.6,4.4,1.5
157478,53115,MW00000,BU04840201,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.9,42.8,10.4,11.6,86.7,8.4,6.9,24.8,20.8,19.3,41.3,36.9,6.2,18.6,89.2,58.4,2.8,2.4,23.0,56.0,37.0,2.3,55.6,3.6,1.8
157481,53115,MW00000,BU04840202,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.1,51.9,16.9,24.2,76.5,8.7,6.3,31.7,29.3,27.6,54.6,54.4,15.7,36.7,79.0,48.5,5.9,7.3,35.6,47.2,46.0,5.5,50.2,9.6,4.8
157484,53115,MW00000,BU04840203,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.0,51.4,15.8,19.2,82.3,8.1,6.2,29.8,26.6,25.1,49.7,46.5,10.8,28.9,82.3,51.8,4.3,5.3,29.0,47.4,42.2,4.1,52.3,6.9,3.2
157487,53115,MW00000,BU04840204,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.0,52.0,16.3,19.6,80.0,7.9,5.8,28.6,25.6,24.0,49.8,46.3,10.7,28.6,82.5,51.8,4.7,5.5,28.9,46.6,44.3,3.8,52.9,6.9,3.2
157490,53115,MW00000,BU04840205,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.9,49.2,14.0,17.9,87.1,8.1,6.1,26.7,22.5,21.0,46.8,43.6,9.1,26.4,85.9,56.0,3.5,3.5,26.3,49.7,37.5,2.8,53.5,5.6,2.2
157493,53115,MW00000,BU04840206,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.1,55.1,19.9,23.2,67.6,7.2,5.5,34.0,32.5,30.6,55.4,54.0,15.3,35.7,75.2,44.5,8.0,10.6,35.3,43.3,53.4,6.5,51.0,10.4,5.7
157496,53115,MW00000,BU04840207,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.0,51.3,15.9,19.4,77.1,7.5,5.5,27.4,24.5,22.9,49.9,46.4,10.7,28.1,82.6,50.3,5.1,5.1,29.3,47.3,46.3,3.7,53.3,7.0,3.4
157499,53115,MW00000,BU04840208,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.0,50.3,15.7,22.1,81.4,8.4,6.0,28.4,25.1,23.4,51.6,47.8,11.2,30.5,82.3,51.0,4.7,5.3,29.4,48.5,41.9,4.2,52.1,7.6,3.3
157502,53115,MW00000,BU04840209,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.9,39.9,12.5,31.9,87.6,13.4,7.8,26.5,24.1,21.9,62.1,54.1,14.6,39.8,81.4,60.1,4.0,5.4,30.9,58.1,29.8,5.3,54.6,11.6,3.5
157505,53115,MW00000,BU04840210,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.1,54.7,18.8,22.1,62.8,6.5,4.4,31.2,30.0,28.0,56.2,54.8,15.9,37.0,76.2,43.2,8.2,10.7,35.9,43.9,57.6,6.4,51.0,10.9,6.4
157508,53115,MW00000,BU04840211,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.2,53.4,18.0,23.1,65.1,6.9,4.6,30.7,29.0,27.0,55.8,56.3,16.2,38.0,76.8,44.0,7.5,9.4,36.5,44.8,55.8,5.8,51.2,10.5,6.0
157514,53115,MW00000,BU04840301,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.0,50.8,15.7,19.5,81.1,8.1,6.3,31.4,28.1,26.4,50.4,47.5,11.8,30.0,81.1,52.6,5.1,6.2,30.0,48.2,42.8,4.7,52.6,7.6,3.9
157517,53115,MW00000,BU04840302,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.9,51.3,15.8,18.1,82.9,8.0,5.8,27.5,24.2,22.7,48.5,44.8,10.2,27.9,84.2,51.9,3.9,4.0,26.9,47.6,40.9,3.5,51.2,6.5,2.9
157520,53115,MW00000,BU04840303,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.2,48.6,15.2,23.9,78.4,8.6,6.0,28.4,25.8,23.8,54.0,51.5,13.8,34.5,81.1,50.9,5.1,6.1,31.6,49.8,43.3,4.4,51.0,8.8,3.9
157523,53115,MW00000,BU04840304,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,1.9,54.3,17.9,20.7,74.4,7.3,5.6,31.9,30.1,28.1,51.4,50.0,12.4,31.3,79.5,45.7,5.4,7.1,31.1,44.6,48.5,5.2,48.0,8.4,4.7
