,id,age,margins,districts_and_neighborhoods,periods,municipality,region_type,underweight,normaalgewicht_8,overweight,severe_overweight,smoker,complies with alcohol directive,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,ernstigbeperktvanwegegezondheid_18,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression, high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,voldoetaanbeweegrichtlijn_5,weekly_athletes, hearing_restriction,visual_restriction,motor_restriction,socially_lonely
185,156629,53115,MW00000,BU04820603,2020JJ00,Alblasserdam                            ,Buurt     ,1.8,45.7,53.3,10.2,9.7,33.5,90,7.3,6.9,21.1,16.9,1.3,16.7,36,2.1,28.3,4.3,12.4,90.9,45.3,59,1,2.1,1.8,18.5
186,156632,53115,MW00000,BU04820604,2020JJ00,Alblasserdam                            ,Buurt     ,2.3,46.4,51,15.3,18.1,43.6,81.8,9.1,5.2,23.9,22.3,4,21,43.3,6.3,38.7,9,20.3,85,48.1,46.3,2.7,3.2,4.1,24.7
187,156635,53115,MW00000,GM0613    ,2020JJ00,Albrandswaard                           ,Gemeente  ,1.9,46.3,52,15.6,15.6,44.8,81.7,6.7,4.4,26.3,23,3,21.3,44,6,43.5,9.7,25.4,84.3,48.3,56,2.8,3.8,4.5,28
188,156638,53115,MW00000,WK061301  ,2020JJ00,Albrandswaard                           ,Wijk      ,1.9,46.6,52.4,15.2,14.7,42.4,84.3,6.7,4.9,26.5,22.9,2.6,22,42,5.1,40.9,8.5,23,84.9,48.7,57.5,2.5,3.5,4,26.7
189,156641,53115,MW00000,BU06130101,2020JJ00,Albrandswaard                           ,Buurt     ,1.9,46.7,52.4,15.2,14.7,42.7,84.1,6.6,4.8,26.3,22.7,2.5,21.8,42.2,5.2,40.9,8.5,23.1,85,48.6,57.8,2.5,3.6,4,26.7
190,156644,53115,MW00000,BU06130102,2020JJ00,Albrandswaard                           ,Buurt     ,1.5,41.7,57.2,19.4,17.3,44.6,82.9,6.7,5.7,33.5,30.4,4.6,28.3,45,6.7,45.1,11,26.9,79.6,47.9,49.8,3.5,4.4,6.9,30
191,156647,53115,MW00000,BU06130103,2020JJ00,Albrandswaard                           ,Buurt     ,1.3,42.7,55.1,17.5,12.2,39.6,87,7.1,6.1,28.4,24.7,2.9,23.6,36.4,3.6,37.8,6.7,18.8,85.1,53.3,57.1,2.4,3.1,4,25.7
192,156650,53115,MW00000,BU06130104,2020JJ00,Albrandswaard                           ,Buurt     ,1.7,49.8,48,12.8,15,35.2,88.7,8.5,6.9,25.5,23.2,2,21.8,39.2,3.3,39.3,7.1,20.2,87.4,49.6,55.7,2.2,2.8,2.5,25.3
193,156653,53115,MW00000,WK061302  ,2020JJ00,Albrandswaard                           ,Wijk      ,1.8,45.2,52.8,16.8,17.5,43.5,81.2,7.2,5.1,28.2,25.6,3.4,23.7,45.3,6.3,45.5,10.8,26.6,82.4,47.7,52.9,3.2,4.1,5.4,29.9
194,156656,53115,MW00000,BU06130205,2020JJ00,Albrandswaard                           ,Buurt     ,1.8,45.1,52.8,16.8,17.7,43.6,81.2,7.2,5,28.1,25.5,3.4,23.6,45.4,6.4,45.7,10.9,26.8,82.3,47.7,52.8,3.2,4.1,5.5,30
195,156659,53115,MW00000,BU06130207,2020JJ00,Albrandswaard                           ,Buurt     ,1.2,45.4,52.7,13.1,11.2,38.4,84.3,6.8,6.5,31.8,28.6,2.1,27.2,37.7,2.4,38.8,5.6,16.2,86.3,48.8,57.2,2.1,2.5,3,27.9
196,156662,53115,MW00000,WK061303  ,2020JJ00,Albrandswaard                           ,Wijk      ,2,45.7,52.7,16.4,16.8,44.5,82.3,7,4.8,28,24.9,3.5,23.1,44.8,6.4,44.5,10.4,26.1,82.9,48.4,54.1,3.2,4.1,5.3,29.2
197,156665,53115,MW00000,BU06130308,2020JJ00,Albrandswaard                           ,Buurt     ,2.3,44.7,54.2,18,20.9,49.6,77.4,7,4.4,29.8,27.8,4.5,27.3,49.4,8.6,50.1,13.7,32.1,79.7,46.6,49.1,4.5,5.4,7.3,33.7
198,156668,53115,MW00000,BU06130309,2020JJ00,Albrandswaard                           ,Buurt     ,1.9,46.3,51.9,16,15.1,43.8,83.2,7.1,4.8,26.8,23.3,2.8,21.5,43.3,5.5,43,8.9,24.3,84.1,49.6,56.2,2.7,3.8,4.7,27.2
199,156671,53115,MW00000,BU06130310,2020JJ00,Albrandswaard                           ,Buurt     ,2.1,45.3,53.7,17.2,16.8,46.7,80.3,6.7,4.8,29.3,26.1,3.5,24.8,45.9,6.9,44.2,10.8,26.2,82.1,48.1,52.1,3.1,4.3,5.9,29.6
200,156674,53115,MW00000,BU06130311,2020JJ00,Albrandswaard                           ,Buurt     ,2,45.9,52.5,16.1,16.1,42.6,84,6.9,4.8,27.4,23.9,3.2,21.6,43.9,5.8,43.2,9.7,24.7,84,48.2,55,2.8,3.7,4.5,28.5
201,156677,53115,MW00000,BU06130312,2020JJ00,Albrandswaard                           ,Buurt     ,1.9,45.3,53.4,16.4,21.6,44.7,81,7.7,5.6,32.3,31.5,6.5,29.2,47.9,9.7,49.7,14.8,31.4,77.2,47.1,53.4,4.9,5.4,8.6,34.9
202,156680,53115,MW00000,BU06130313,2020JJ00,Albrandswaard                           ,Buurt     ,2.1,47.6,49.7,11.8,10.9,38.3,87.8,7.4,5.4,22.5,19.5,1.7,17.8,34.8,3.1,37.3,5.8,19.1,88.7,51.5,59.2,1.8,2.5,2.2,22.7
203,156683,53115,MW00000,WK061304  ,2020JJ00,Albrandswaard                           ,Wijk      ,1.8,48.1,49.7,14.8,15.3,42.6,83,6.8,4.5,25.5,22.4,2.7,20.3,44.1,5.6,43.3,9.6,25.4,85.1,49.3,57.4,2.6,3.3,3.9,27.3
204,156686,53115,MW00000,BU06130414,2020JJ00,Albrandswaard                           ,Buurt     ,2,47.4,50.2,14.8,15.3,41.6,84,7.5,5,26.3,22.6,2.5,20.5,42.9,5.1,43.7,9.3,25.1,85.6,49.4,57.4,2.3,3.2,3.6,27.7
205,156689,53115,MW00000,BU06130415,2020JJ00,Albrandswaard                           ,Buurt     ,1.9,49.1,48.9,14.6,13.6,45.1,81.4,6.3,4.2,25.8,23.1,2.7,21.2,43.6,5.3,42.6,9.4,24.3,84.7,49.1,56.3,2.4,3.4,4.3,27.6
206,156692,53115,MW00000,BU06130416,2020JJ00,Albrandswaard                           ,Buurt     ,1.6,50.9,46.4,11.6,10.9,37.8,86.1,8.4,6.5,21.7,17.9,1.7,16.4,37.6,3.2,37.2,6.5,19.4,89.2,50,62.5,1.7,2.5,2.4,23.8
207,156695,53115,MW00000,BU06130417,2020JJ00,Albrandswaard                           ,Buurt     ,2,45.1,52.8,16.8,18.5,45.4,79.9,6.7,4.5,28.8,26.4,3.8,23.6,48.4,7.1,48,12.1,29.7,81.6,49,52.4,3.9,4.6,5.6,30.9
208,156698,53115,MW00000,BU06130418,2020JJ00,Albrandswaard                           ,Buurt     ,1.6,50.1,47.7,13.7,14.3,42.2,83.1,6.2,3.4,22.7,19.4,2.4,17.6,43.5,5.6,41.6,9,24.6,87,49,61.5,2.3,2.8,3.5,25
209,156701,53115,MW00000,BU06130419,2020JJ00,Albrandswaard                           ,Buurt     ,1.7,46.8,51.2,15.8,17.1,41.3,84.3,7,4.7,26.6,23.5,2.7,21.4,45.6,6.3,44.5,10,27.2,84,49.7,55.5,2.8,3.2,3.8,27.9
210,156704,53115,MW00000,BU06130420,2020JJ00,Albrandswaard                           ,Buurt     ,2.3,49.5,46.8,12.8,12.7,37.7,87,8.8,6.2,23.7,20.6,1.9,19,38.8,3.4,37.3,5.9,18.4,87.8,49.5,61.4,1.8,2.9,2.7,23.6
211,156707,53115,MW00000,WK061305  ,2020JJ00,Albrandswaard                           ,Wijk      ,2.2,50.6,47.6,12.9,13,39.1,86.5,8.5,5.9,25.3,20.2,1.9,18.3,40.2,4.3,37.9,6.5,18.7,87.6,50.9,57.7,1.7,2.9,2.3,24.6
212,156710,53115,MW00000,BU06130521,2020JJ00,Albrandswaard                           ,Buurt     ,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
213,156713,53115,MW00000,BU06130522,2020JJ00,Albrandswaard                           ,Buurt     ,2.2,50.5,47.8,12.9,13.1,38.8,86.6,8.6,6,25.3,20.1,1.9,18.4,40.1,4.3,37.8,6.5,18.6,87.6,51,57.7,1.7,2.9,2.3,24.6
214,156716,53115,MW00000,WK061306  ,2020JJ00,Albrandswaard                           ,Wijk      ,1.8,45.5,53,15.5,14.9,48.5,79.1,6.2,3.6,25.1,21.5,2.9,19.7,43.7,6.1,43.3,9.6,25.7,84.9,47.3,56.7,2.6,3.8,4.4,27.7
