underweight,overweight,severe_overweight,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction,big_small,smoker_p
1.9,42.8,10.4,86.7,8.4,6.9,24.8,20.8,19.3,41.3,36.9,6.2,18.6,89.2,58.4,2.8,2.4,23.0,56.0,37.0,2.3,55.6,3.6,1.8,0,11.6
2.1,51.9,16.9,76.5,8.7,6.3,31.7,29.3,27.6,54.6,54.4,15.7,36.7,79.0,48.5,5.9,7.3,35.6,47.2,46.0,5.5,50.2,9.6,4.8,0,24.2
2.0,51.4,15.8,82.3,8.1,6.2,29.8,26.6,25.1,49.7,46.5,10.8,28.9,82.3,51.8,4.3,5.3,29.0,47.4,42.2,4.1,52.3,6.9,3.2,0,19.2
2.0,52.0,16.3,80.0,7.9,5.8,28.6,25.6,24.0,49.8,46.3,10.7,28.6,82.5,51.8,4.7,5.5,28.9,46.6,44.3,3.8,52.9,6.9,3.2,0,19.6
1.9,49.2,14.0,87.1,8.1,6.1,26.7,22.5,21.0,46.8,43.6,9.1,26.4,85.9,56.0,3.5,3.5,26.3,49.7,37.5,2.8,53.5,5.6,2.2,0,17.9
2.1,55.1,19.9,67.6,7.2,5.5,34.0,32.5,30.6,55.4,54.0,15.3,35.7,75.2,44.5,8.0,10.6,35.3,43.3,53.4,6.5,51.0,10.4,5.7,0,23.2
2.0,51.3,15.9,77.1,7.5,5.5,27.4,24.5,22.9,49.9,46.4,10.7,28.1,82.6,50.3,5.1,5.1,29.3,47.3,46.3,3.7,53.3,7.0,3.4,0,19.4
2.0,50.3,15.7,81.4,8.4,6.0,28.4,25.1,23.4,51.6,47.8,11.2,30.5,82.3,51.0,4.7,5.3,29.4,48.5,41.9,4.2,52.1,7.6,3.3,0,22.1
2.9,39.9,12.5,87.6,13.4,7.8,26.5,24.1,21.9,62.1,54.1,14.6,39.8,81.4,60.1,4.0,5.4,30.9,58.1,29.8,5.3,54.6,11.6,3.5,0,31.9
2.1,54.7,18.8,62.8,6.5,4.4,31.2,30.0,28.0,56.2,54.8,15.9,37.0,76.2,43.2,8.2,10.7,35.9,43.9,57.6,6.4,51.0,10.9,6.4,0,22.1
2.2,53.4,18.0,65.1,6.9,4.6,30.7,29.0,27.0,55.8,56.3,16.2,38.0,76.8,44.0,7.5,9.4,36.5,44.8,55.8,5.8,51.2,10.5,6.0,0,23.1
2.0,50.8,15.7,81.1,8.1,6.3,31.4,28.1,26.4,50.4,47.5,11.8,30.0,81.1,52.6,5.1,6.2,30.0,48.2,42.8,4.7,52.6,7.6,3.9,0,19.5
1.9,51.3,15.8,82.9,8.0,5.8,27.5,24.2,22.7,48.5,44.8,10.2,27.9,84.2,51.9,3.9,4.0,26.9,47.6,40.9,3.5,51.2,6.5,2.9,0,18.1
2.2,48.6,15.2,78.4,8.6,6.0,28.4,25.8,23.8,54.0,51.5,13.8,34.5,81.1,50.9,5.1,6.1,31.6,49.8,43.3,4.4,51.0,8.8,3.9,0,23.9
1.9,54.3,17.9,74.4,7.3,5.6,31.9,30.1,28.1,51.4,50.0,12.4,31.3,79.5,45.7,5.4,7.1,31.1,44.6,48.5,5.2,48.0,8.4,4.7,0,20.7
1.9,50.7,14.4,84.3,7.2,5.2,25.7,21.9,20.5,45.7,41.1,8.3,24.2,86.7,54.9,3.1,3.0,23.8,48.3,40.1,2.6,51.7,5.2,2.2,0,15.7
2.3,53.1,18.2,63.1,6.8,4.7,31.6,30.0,27.9,55.7,57.2,16.8,38.4,76.6,43.6,8.1,9.6,37.2,45.4,56.5,6.4,49.3,10.6,6.2,0,21.6
